Year,CategoryKey,Category,Records,MaximumStudentContribution,CommonwealthContribution,AvgMaximumStudentContribution,AvgCommonwealthContribution
2019,1,Natural & Physical Science,37,347882,660862,9402.216216216217,17861.135135135137
2019,2,Information Technology,21,196539,223230,9359.0,10630.0
2019,3,Engineering & Related Tech,80,748720,1486880,9359.0,18586.0
2019,4,Architecture & Building,23,215257,244490,9359.0,10630.0
2019,5,Environment & Related,19,177821,448210,9359.0,23590.0
2019,6,Health,67,628310,1065561,9377.76119402985,15903.89552238806
2019,7,Education,16,105056,176976,6566.0,11061.0
2019,8,Management & Commerce,39,427362,84240,10958.0,2160.0
2019,9,Society & Culture,72,525456,614198,7298.0,8530.527777777777
2019,10,Creative Arts,25,164150,326825,6566.0,13073.0
2019,11,Others,19,208202,41040,10958.0,2160.0
2019,99,Total,418,3744755,5372512,8958.744019138756,12852.8995215311
2020,1,Natural & Physical Science,37,354127,672738,9571.0,18182.108108108107
2020,2,Information Technology,21,200067,227241,9527.0,10821.0
2020,3,Engineering & Related Tech,80,762160,1513600,9527.0,18920.0
2020,4,Architecture & Building,23,219121,248883,9527.0,10821.0
2020,5,Environment & Related,19,181013,456266,9527.0,24014.0
2020,6,Health,67,639596,1084709,9546.208955223881,16189.686567164179
2020,7,Education,16,106944,180160,6684.0,11260.0
2020,8,Management & Commerce,39,435045,85722,11155.0,2198.0
2020,9,Society & Culture,72,534900,625226,7429.166666666667,8683.694444444445
2020,10,Creative Arts,25,167100,332700,6684.0,13308.0
2020,11,Others,19,211945,41762,11155.0,2198.0
2020,99,Total,418,3812018,5469007,9119.66028708134,13083.748803827752
2021,1,Natural & Physical Science,37,278150,589250,7517.5675675675675,15925.675675675675
2021,2,Information Technology,21,166950,278250,7950.0,13250.0
2021,3,Engineering & Related Tech,80,636000,1300000,7950.0,16250.0
2021,4,Architecture & Building,23,182850,304750,7950.0,13250.0
2021,5,Environment & Related,19,99050,448500,5213.1578947368425,23605.263157894737
2021,6,Health,67,566200,1194350,8450.746268656716,17826.119402985074
2021,7,Education,16,63200,212000,3950.0,13250.0
2021,8,Management & Commerce,39,565500,42900,14500.0,1100.0
2021,9,Society & Culture,85,989100,460700,11636.470588235294,5420.0
2021,10,Creative Arts,25,238050,258350,9522.0,10334.0
2021,11,Others,29,420500,31900,14500.0,1100.0
2021,99,Total,441,4205550,5120950,9536.394557823129,11612.131519274377
2022,1,Natural & Physical Science,37,280633,594544,7584.675675675676,16068.756756756757
2022,2,Information Technology,21,168441,280749,8021.0,13369.0
2022,3,Engineering & Related Tech,80,641680,1311680,8021.0,16396.0
2022,4,Architecture & Building,23,184483,307487,8021.0,13369.0
2022,5,Environment & Related,19,99931,452535,5259.526315789473,23817.63157894737
2022,6,Health,67,571256,1205087,8526.208955223881,17986.373134328358
2022,7,Education,16,63760,213904,3985.0,13369.0
2022,8,Management & Commerce,39,570570,43251,14630.0,1109.0
2022,9,Society & Culture,85,997958,464788,11740.682352941176,5468.094117647059
2022,10,Creative Arts,25,240179,260665,9607.16,10426.6
2022,11,Others,29,424270,32161,14630.0,1109.0
2022,99,Total,441,4243161,5166851,9621.680272108844,11716.215419501134
2023,1,Natural & Physical Science,37,290429,615321,7849.4324324324325,16630.297297297297
2023,2,Information Technology,21,174321,290556,8301.0,13836.0
2023,3,Engineering & Related Tech,80,664080,1357520,8301.0,16969.0
2023,4,Architecture & Building,23,190923,318228,8301.0,13836.0
2023,5,Environment & Related,19,103418,468362,5443.0526315789475,24650.63157894737
2023,6,Health,67,591218,1247213,8824.149253731342,18615.119402985074
2023,7,Education,16,65984,221376,4124.0,13836.0
2023,8,Management & Commerce,39,590538,44733,15142.0,1147.0
2023,9,Society & Culture,85,1032867,480984,12151.376470588235,5658.635294117647
2023,10,Creative Arts,25,248571,269766,9942.84,10790.64
2023,11,Others,29,439118,33263,15142.0,1147.0
2023,99,Total,441,4391467,5347322,9957.975056689342,12125.44671201814
2024,1,Natural & Physical Science,37,313064,663296,8461.18918918919,17926.91891891892
2024,2,Information Technology,21,187908,313215,8948.0,14915.0
2024,3,Engineering & Related Tech,80,715840,1463360,8948.0,18292.0
2024,4,Architecture & Building,23,205804,343045,8948.0,14915.0
2024,5,Environment & Related,19,111473,504887,5867.0,26573.0
2024,6,Health,67,637301,1344476,9511.955223880597,20066.805970149253
2024,7,Education,16,71120,238640,4445.0,14915.0
2024,8,Management & Commerce,39,636597,48204,16323.0,1236.0
2024,9,Society & Culture,85,1113410,518465,13098.941176470587,6099.588235294118
2024,10,Creative Arts,25,267950,290801,10718.0,11632.04
2024,11,Others,29,473367,35844,16323.0,1236.0
2024,99,Total,441,4733834,5764233,10734.317460317461,13070.823129251701
2025,1,Natural & Physical Science,37,325870,690457,8807.297297297297,18661.0
2025,2,Information Technology,21,195594,326046,9314.0,15526.0
2025,3,Engineering & Related Tech,80,745120,1523280,9314.0,19041.0
2025,4,Architecture & Building,23,214222,357098,9314.0,15526.0
2025,5,Environment & Related,19,116035,525579,6107.105263157895,27662.052631578947
2025,6,Health,67,663386,1399567,9901.283582089553,20889.059701492537
2025,7,Education,16,74032,248416,4627.0,15526.0
2025,8,Management & Commerce,39,662688,50154,16992.0,1286.0
2025,9,Society & Culture,85,1159031,539665,13635.658823529411,6349.0
2025,10,Creative Arts,25,278918,302710,11156.72,12108.4
2025,11,Others,30,492768,55572,16425.6,1852.4
2025,99,Total,442,4927664,6018544,11148.561085972851,13616.615384615385
2026,1,Natural & Physical Science,37,333673,706993,9018.18918918919,19107.91891891892
2026,2,Information Technology,21,200277,333858,9537.0,15898.0
2026,3,Engineering & Related Tech,80,762960,1559760,9537.0,19497.0
2026,4,Architecture & Building,23,219351,365654,9537.0,15898.0
2026,5,Environment & Related,19,118816,538182,6253.473684210527,28325.36842105263
2026,6,Health,67,679271,1433116,10138.373134328358,21389.79104477612
2026,7,Education,16,75808,254368,4738.0,15898.0
2026,8,Management & Commerce,39,678561,51324,17399.0,1316.0
2026,9,Society & Culture,85,1186794,552547,13962.282352941176,6500.552941176471
2026,10,Creative Arts,25,285597,309958,11423.88,12398.32
2026,11,Others,30,504571,56880,16819.033333333333,1896.0
2026,99,Total,442,5045679,6162640,11415.56334841629,13942.62443438914
